D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00

48219|2019|Aston Martin|DB11|car|Silver|12000|200000.0
56120|2022|Lamborghini|Urus|SUV|Yellow|800|250000.0
32987|2021|Ferrari|812 Superfast|car|Red|3000|350000.0
19764|2020|Rolls-Royce|Cullinan|SUV|Blue|7000|400000.0
84751|2018|Bentley|Mulsanne|car|Black|15000|310000.0
39218|2021|Bugatti|Chiron|car|Blue|500|3000000.0
12085|2019|McLaren|720S|Coupe|Orange|10000|285000.0
65213|2022|Maserati|Quattroporte|car|Gray|400|150000.0
41893|2017|Lamborghini|Aventador|car|Green|8000|450000.0
25984|2021|Ferrari|SF90 Stradale|car|Red|1500|500000.0
74521|2020|Rolls-Royce|Ghost|car|White|9000|320000.0
37189|2019|Aston Martin|Vantage|car|Black|7000|160000.0
50912|2021|Bentley|Continental GT|car|Blue|3000|250000.0
83145|2018|Porsche|Panamera Turbo S|car|Gray|20000|200000.0
94012|2022|Rolls-Royce|Dawn|car|Silver|1500|330000.0
28013|2021|Mercedes-Maybach|S-Class|car|Black|4000|180000.0
58329|2022|Lexus|LS Inspiration Series|ca10r|White|300|100000.0
98765|2021|Tesla|Model 3|Car|Silver|25000|38000.0|
12345|2019|Toyota|Camry|Car|Blue|35000|22000.0|
67890|2023|Ford|F-150|Truck|Red|10000|45000.0|
34567|2020|Honda|Civic|Car|Gray|40000|18000.0|
23456|2018|Nissan|Altima|Car|White|50000|15000.0|
90123|2022|Mercedes-Benz|GLE|SUV|Black|20000|60000.0|
56789|2021|Audi|A4|Car|Silver|30000|30000.0|
11223|2019|Lexus|RX|SUV|White|40000|35000.0|
45678|2023|Porsche|911|Car|Red|8000|120000.0|
78901|2020|Lamborghini|Huracan|Car|Yellow|5000|250000.0|
23451|2022|Ferrari|488 GTB|Car|Red|7000|300000.0|
67892|2021|McLaren|720S|Car|Orange|6000|280000.0|
12342|2019|Bentley|Continental GT|Car|Black|10000|200000.0|
56783|2023|Rolls-Royce|Ghost|Car|Silver|12000|350000.0|
90124|2020|BMW|X5|SUV|Blue|18000|50000.0|
34568|2021|Tesla|Model 3|Car|Black|30000|35000.0|
78902|2019|Toyota|Camry|Car|Gray|45000|20000.0|
12343|2023|Ford|F-150|Truck|White|12000|48000.0|
56784|2020|Honda|Civic|Car|Red|50000|16000.0|
90125|2018|Nissan|Altima|Car|Silver|60000|13000.0|
34569|2022|Mercedes-Benz|GLE|SUV|Blue|25000|65000.0|
78903|2021|Audi|A4|Car|Black|35000|28000.0|
12344|2019|Lexus|RX|SUV|Silver|45000|32000.0|
45678|2023|Porsche|911|Car|Yellow|9000|130000.0|
90126|2020|Lamborghini|Huracan|Car|Green|6000|260000.0|
34570|2022|Ferrari|488 GTB|Car|Black|8000|320000.0|
78904|2021|McLaren|720S|Car|White|7000|290000.0|
12345|2019|Bentley|Continental GT|Car|Brown|12000|210000.0|
56786|2023|Rolls-Royce|Ghost|Car|Gold|13000|360000.0|
90127|2020|BMW|X5|SUV|Gray|20000|52000.0|
34571|2021|Tesla|Model 3|Car|White|35000|36000.0|
78905|2019|Toyota|Camry|Car|Blue|50000|21000.0|
12346|2023|Ford|F-150|Truck|Black|13000|50000.0|
56787|2020|Honda|Civic|Car|Silver|55000|15000.0|
90128|2018|Nissan|Altima|Car|Gray|65000|12000.0|
34572|2022|Mercedes-Benz|GLE|SUV|White|30000|68000.0|
78906|2021|Audi|A4|Car|Silver|40000|29000.0|
12347|2019|Lexus|RX|SUV|Black|50000|33000.0
